,datetime,energy,humidity,pressure,temperature,weather,wind_direction,wind_speed
120523,2012-12-31 01:00:00,10445.0,68.0,1020.0,269.72,overcast clouds,290.0,6.0
120524,2012-12-31 02:00:00,9897.0,73.0,1020.0,269.05,overcast clouds,290.0,6.0
120525,2012-12-31 03:00:00,9538.0,68.0,1021.0,268.53,overcast clouds,280.0,6.0
120526,2012-12-31 04:00:00,9333.0,79.0,1022.0,267.83,overcast clouds,280.0,8.0
120527,2012-12-31 05:00:00,9275.0,85.0,1023.0,266.77,overcast clouds,270.0,6.0
120528,2012-12-31 06:00:00,9463.0,88.0,1018.0,266.985,scattered clouds,273.0,6.0
120529,2012-12-31 07:00:00,9830.0,91.0,1013.0,267.2,sky is clear,276.0,7.0
120530,2012-12-31 08:00:00,10443.0,91.0,1013.0,267.2,sky is clear,276.0,7.0
120531,2012-12-31 09:00:00,10713.0,78.0,1025.0,264.38,few clouds,260.0,3.0
120532,2012-12-31 10:00:00,10845.0,72.0,1025.0,264.38,sky is clear,240.0,4.0
120533,2012-12-31 11:00:00,11044.0,78.0,1026.0,263.94,sky is clear,240.0,3.0
120534,2012-12-31 12:00:00,11269.0,78.0,1026.0,263.94,sky is clear,250.0,4.0
120535,2012-12-31 13:00:00,11311.0,78.0,1026.0,263.94,haze,240.0,4.0
120536,2012-12-31 14:00:00,11349.0,72.0,1026.0,264.42,haze,230.0,4.0
120537,2012-12-31 15:00:00,11372.0,73.0,1027.0,266.22,haze,250.0,4.0
120538,2012-12-31 16:00:00,11297.0,62.0,1027.0,268.04,haze,260.0,4.0
120539,2012-12-31 17:00:00,11378.0,63.0,1027.0,270.38,few clouds,240.0,4.0
120540,2012-12-31 18:00:00,12062.0,58.0,1025.0,272.21,few clouds,220.0,2.0
120542,2012-12-31 20:00:00,12508.0,55.0,1025.0,273.55,broken clouds,230.0,5.0
120543,2012-12-31 21:00:00,12154.0,55.0,1024.0,273.7,broken clouds,210.0,3.0
120552,2012-12-30 06:00:00,9810.0,86.0,1012.0,272.56,mist,240.0,2.0
120553,2012-12-30 07:00:00,9986.0,92.0,1011.0,272.49,mist,270.0,2.0
120558,2012-12-30 12:00:00,10528.0,86.0,1012.0,272.22,mist,320.0,4.0
120559,2012-12-30 13:00:00,10498.0,86.0,1012.0,271.855,overcast clouds,320.0,4.0
120560,2012-12-30 14:00:00,10459.0,86.0,1012.0,271.49,mist,320.0,4.0
120561,2012-12-30 15:00:00,10346.0,86.0,1013.0,270.75,heavy snow,310.0,6.0
120563,2012-12-30 17:00:00,10446.0,74.0,1014.0,271.04,mist,280.0,7.0
120564,2012-12-30 18:00:00,11412.0,74.0,1014.0,271.11,heavy snow,280.0,6.0
120565,2012-12-30 19:00:00,12278.0,74.0,1014.0,271.3,heavy snow,290.0,7.0
120566,2012-12-30 20:00:00,12309.0,74.0,1015.0,271.23,haze,290.0,8.0
120567,2012-12-30 21:00:00,12257.0,68.0,1016.0,270.97,overcast clouds,290.0,7.0
120568,2012-12-30 22:00:00,12031.0,68.0,1017.0,270.71,overcast clouds,290.0,5.0
120569,2012-12-30 23:00:00,11690.0,68.0,1018.0,270.57,overcast clouds,300.0,5.0
120570,2012-12-31 00:00:00,11071.0,73.0,1019.0,270.18,overcast clouds,290.0,6.0
120572,2012-12-29 02:00:00,9985.0,86.0,1020.0,272.17,overcast clouds,0.0,0.0
120577,2012-12-29 07:00:00,9608.0,86.0,1020.0,272.25,mist,200.0,2.0
120578,2012-12-29 08:00:00,10059.0,80.0,1020.0,271.95,mist,190.0,3.0
120579,2012-12-29 09:00:00,10394.0,80.0,1019.0,271.75,mist,180.0,1.0
120580,2012-12-29 10:00:00,10587.0,80.0,1019.0,271.87,overcast clouds,180.0,1.0
120581,2012-12-29 11:00:00,10901.0,80.0,1018.0,271.9,mist,0.0,0.0
120583,2012-12-29 13:00:00,11208.0,74.0,1019.0,272.22,overcast clouds,170.0,2.0
120584,2012-12-29 14:00:00,11146.0,80.0,1019.0,272.36,heavy snow,170.0,1.0
120585,2012-12-29 15:00:00,11078.0,80.0,1019.0,272.56,heavy snow,140.0,3.0
120586,2012-12-29 16:00:00,11051.0,86.0,1019.0,272.63,mist,140.0,3.0
120595,2012-12-28 01:00:00,10617.0,59.0,1017.0,273.29,overcast clouds,10.0,7.0
120596,2012-12-28 02:00:00,10002.0,59.0,1017.0,272.92,overcast clouds,20.0,7.0
120597,2012-12-28 03:00:00,9629.0,68.0,1018.0,272.37,overcast clouds,330.0,6.0
120598,2012-12-28 04:00:00,9443.0,68.0,1018.0,272.1,overcast clouds,340.0,6.0
120599,2012-12-28 05:00:00,9405.0,68.0,1018.0,271.23,overcast clouds,340.0,6.0
120600,2012-12-28 06:00:00,9593.0,68.0,1018.0,270.95,heavy snow,320.0,6.0
120601,2012-12-28 07:00:00,10160.0,68.0,1018.0,271.04,overcast clouds,350.0,6.0
120602,2012-12-28 08:00:00,10999.0,74.0,1019.0,271.04,overcast clouds,320.0,4.0
120603,2012-12-28 09:00:00,11566.0,74.0,1020.0,271.04,overcast clouds,320.0,4.0
120604,2012-12-28 10:00:00,11845.0,74.0,1020.0,271.04,overcast clouds,320.0,6.0
120605,2012-12-28 11:00:00,12091.0,68.0,1020.0,271.25,overcast clouds,320.0,4.0
120606,2012-12-28 12:00:00,12193.0,74.0,1020.0,271.04,overcast clouds,320.0,5.0
120607,2012-12-28 13:00:00,12277.0,74.0,1021.0,271.33,heavy snow,330.0,5.0
120608,2012-12-28 14:00:00,12265.0,74.0,1021.0,271.13,overcast clouds,330.0,5.0
120609,2012-12-28 15:00:00,12279.0,82.0,1020.0,271.83,overcast clouds,325.0,2.0
120610,2012-12-28 16:00:00,12223.0,74.0,1022.0,271.96,heavy snow,320.0,3.0
120611,2012-12-28 17:00:00,12287.0,74.0,1022.0,272.27,heavy snow,320.0,4.0
120612,2012-12-28 18:00:00,12946.0,37.0,1021.0,272.78,overcast clouds,335.0,4.0
120619,2012-12-27 01:00:00,10736.0,59.0,1025.0,273.09,heavy snow,40.0,6.0
120620,2012-12-27 02:00:00,10073.0,64.0,1025.0,273.13,overcast clouds,70.0,4.0
120621,2012-12-27 03:00:00,9741.0,59.0,1024.0,273.18,heavy snow,60.0,6.0
120622,2012-12-27 04:00:00,9534.0,59.0,1023.0,273.55,overcast clouds,60.0,7.0
120623,2012-12-27 05:00:00,9493.0,59.0,1023.0,273.61,overcast clouds,70.0,8.0
120628,2012-12-27 10:00:00,12050.0,69.0,1019.0,273.04,overcast clouds,50.0,8.0
120629,2012-12-27 11:00:00,12276.0,64.0,1018.0,273.34,overcast clouds,40.0,7.0
120630,2012-12-27 12:00:00,12469.0,69.0,1018.0,273.48,heavy snow,50.0,9.0
120631,2012-12-27 13:00:00,12432.0,59.0,1017.0,273.55,overcast clouds,60.0,9.0
120632,2012-12-27 14:00:00,12318.0,59.0,1017.0,273.48,overcast clouds,60.0,9.0
120633,2012-12-27 15:00:00,12343.0,59.0,1017.0,273.41,overcast clouds,50.0,7.0
120637,2012-12-27 19:00:00,13521.0,64.0,1015.0,273.48,overcast clouds,20.0,10.0
120638,2012-12-27 20:00:00,13300.0,59.0,1015.0,273.48,overcast clouds,30.0,10.0
120639,2012-12-27 21:00:00,13057.0,64.0,1015.0,273.39,overcast clouds,20.0,8.0
120640,2012-12-27 22:00:00,12749.0,64.0,1015.0,273.48,overcast clouds,10.0,8.0
120641,2012-12-27 23:00:00,12229.0,64.0,1017.0,273.36,overcast clouds,10.0,7.0
120642,2012-12-28 00:00:00,11425.0,59.0,1017.0,273.29,overcast clouds,360.0,6.0
120645,2012-12-26 03:00:00,9209.0,68.0,1017.0,272.34,heavy snow,320.0,5.0
120646,2012-12-26 04:00:00,9093.0,68.0,1018.0,272.03,heavy snow,320.0,4.0
120647,2012-12-26 05:00:00,9090.0,68.0,1019.0,271.43,heavy snow,330.0,5.0
120648,2012-12-26 06:00:00,9342.0,68.0,1019.0,271.06,heavy snow,320.0,6.0
120649,2012-12-26 07:00:00,10001.0,74.0,1019.0,270.9,heavy snow,330.0,5.0
120650,2012-12-26 08:00:00,10954.0,68.0,1020.0,270.6,heavy snow,330.0,5.0
120651,2012-12-26 09:00:00,11603.0,68.0,1021.0,270.44,heavy snow,320.0,4.0
120652,2012-12-26 10:00:00,11908.0,63.0,1022.0,270.36,overcast clouds,320.0,5.0
120653,2012-12-26 11:00:00,12192.0,63.0,1022.0,270.58,heavy snow,360.0,4.0
120654,2012-12-26 12:00:00,12418.0,63.0,1023.0,270.58,overcast clouds,360.0,4.0
120655,2012-12-26 13:00:00,12533.0,63.0,1023.0,270.7,overcast clouds,350.0,4.0
120656,2012-12-26 14:00:00,12558.0,68.0,1024.0,270.78,heavy snow,320.0,3.0
120657,2012-12-26 15:00:00,12562.0,68.0,1024.0,271.13,heavy snow,340.0,5.0
120658,2012-12-26 16:00:00,12511.0,74.0,1025.0,271.7,heavy snow,350.0,4.0
120659,2012-12-26 17:00:00,12576.0,80.0,1025.0,271.86,heavy snow,360.0,3.0
120660,2012-12-26 18:00:00,13239.0,86.0,1025.0,271.84,mist,0.0,1.0
120661,2012-12-26 19:00:00,13715.0,86.0,1025.0,271.29,mist,350.0,3.0
120664,2012-12-26 22:00:00,12881.0,80.0,1024.0,272.39,heavy snow,360.0,4.0
120665,2012-12-26 23:00:00,12411.0,86.0,1025.0,272.34,mist,30.0,2.0
120666,2012-12-27 00:00:00,11588.0,59.0,1025.0,273.02,heavy snow,60.0,5.0
120667,2012-12-25 01:00:00,10158.0,74.0,1016.0,273.76,overcast clouds,360.0,3.0
120668,2012-12-25 02:00:00,9654.0,64.0,1016.0,273.94,broken clouds,60.0,2.0
120669,2012-12-25 03:00:00,9313.0,64.0,1015.0,274.26,overcast clouds,70.0,3.0
120670,2012-12-25 04:00:00,9095.0,69.0,1015.0,274.1,overcast clouds,50.0,4.0
120671,2012-12-25 05:00:00,9030.0,64.0,1015.0,273.91,overcast clouds,50.0,4.0
120672,2012-12-25 06:00:00,9073.0,64.0,1015.0,273.83,overcast clouds,80.0,4.0
120673,2012-12-25 07:00:00,9267.0,69.0,1014.0,273.71,overcast clouds,80.0,3.0
120674,2012-12-25 08:00:00,9571.0,74.0,1013.0,274.22,overcast clouds,110.0,6.0
120677,2012-12-25 11:00:00,10021.0,74.0,1011.0,273.43,overcast clouds,110.0,4.0
120680,2012-12-25 14:00:00,10227.0,74.0,1012.0,273.65,overcast clouds,60.0,4.0
120681,2012-12-25 15:00:00,10203.0,74.0,1012.0,274.21,overcast clouds,50.0,3.0
120682,2012-12-25 16:00:00,10185.0,74.0,1012.0,273.92,overcast clouds,30.0,3.0
120683,2012-12-25 17:00:00,10296.0,69.0,1012.0,274.26,overcast clouds,50.0,2.0
120684,2012-12-25 18:00:00,10957.0,69.0,1011.0,273.91,overcast clouds,360.0,2.0
120685,2012-12-25 19:00:00,11354.0,74.0,1011.0,273.81,overcast clouds,320.0,5.0
120686,2012-12-25 20:00:00,11309.0,74.0,1011.0,273.55,heavy snow,340.0,5.0
120687,2012-12-25 21:00:00,11247.0,69.0,1011.0,273.55,overcast clouds,350.0,5.0
120691,2012-12-24 01:00:00,10345.0,74.0,1016.0,270.49,scattered clouds,160.0,2.0
120692,2012-12-24 02:00:00,9777.0,74.0,1016.0,270.43,few clouds,180.0,3.0
